지점명,일시,평균기온(°C),평균최저기온(°C),평균최고기온(°C)
인천,1905,10.9,7.6,14.7
부산,1905,13.9,11,17.9
인천,1906,10.2,7,14
부산,1906,13,9.5,16.8
목포,1906,12.8,10,16.7
인천,1907,10.8,7.2,15.1
부산,1907,13.5,9.8,17.6
목포,1907,13.1,9.9,17.7
서울,1908,10.4,5.8,15.7
인천,1908,10.4,6.6,14.6
부산,1908,13.3,9.7,17.2
목포,1908,12.8,9.6,17
서울,1909,10.6,5.8,16
인천,1909,10.4,6.7,14.7
대구,1909,12.8,7.8,18.8
부산,1909,13.4,9.7,17.8
목포,1909,12.9,9.6,17.2
서울,1910,10.3,5.7,15.9
인천,1910,10.2,6.8,14.5
대구,1910,12.2,7.2,18.1
부산,1910,13,9.5,16.7
목포,1910,12.6,9.5,17
서울,1911,10.6,6,15.9
인천,1911,10.6,7.3,14.6
대구,1911,12.6,7.8,18.4
부산,1911,13.4,10.1,17.2
목포,1911,13,9.8,17.3
강릉,1912,11.7,7.8,16.7
서울,1912,10.1,5.1,15.6
인천,1912,10.3,6.9,14.7
대구,1912,12.4,7.2,18.6
부산,1912,13.3,9.6,17.3
목포,1912,12.7,9.4,17.4
강릉,1913,11.7,7.5,16.9
서울,1913,10,4.9,15.6
인천,1913,9.9,6.3,14.5
대구,1913,11.9,6.5,18.4
부산,1913,12.8,8.9,17
목포,1913,12.4,8.8,17.5
강릉,1914,13.2,9.3,17.9
서울,1914,12,7.7,17
인천,1914,11.8,8.4,16
대구,1914,13.5,8.7,19.6
부산,1914,14.2,10.8,18
목포,1914,14.1,10.8,18.2
강릉,1915,12.1,8.2,16.9
서울,1915,10.8,6.6,15.8
인천,1915,10.7,7.2,14.8
대구,1915,12.9,8,19.1
부산,1915,13.7,10.4,17.5
목포,1915,13.3,9.9,17.4
강릉,1916,12.1,8.2,16.9
서울,1916,10.9,6.4,16.5
인천,1916,10.7,7.4,15.1
대구,1916,12.3,7.8,17.4
부산,1916,13.9,10.4,17.7
목포,1916,13.1,9.7,17.8
강릉,1917,,6.9,16.5
서울,1917,9.8,4.8,15.5
인천,1917,9.7,6.2,14.1
대구,1917,11.1,6,16.8
부산,1917,12.4,8.8,16.5
목포,1917,12.4,8.9,17.2
강릉,1918,11.3,7.1,16.4
서울,1918,10.5,5.6,16.1
인천,1918,10.5,7.1,14.9
대구,1918,11.8,6.7,17.4
부산,1918,12.8,9.2,17.5
목포,1918,12.8,9.4,17.5
강릉,1919,11.6,7.2,16.9
서울,1919,11.1,6,16.8
인천,1919,11,7.3,15.9
대구,1919,12.2,6.9,18
전주,1919,12.1,7.4,17.9
부산,1919,13.5,9.9,18.3
목포,1919,13.4,9.8,18.3
강릉,1920,11.8,7.7,16.7
서울,1920,11.4,6.3,16.9
인천,1920,11.2,7.7,16
대구,1920,12.7,8.1,18.2
전주,1920,12.5,7.8,18
부산,1920,13.9,10.5,18
목포,1920,13.9,10.4,18.9
강릉,1921,11.7,7.5,16.6
