연도,구분,배출량
1999,미세먼지(PM-10),63251176
2000,미세먼지(PM-10),61719112
2001,미세먼지(PM-10),67367821
2002,미세먼지(PM-10),65099618
2003,미세먼지(PM-10),66357046
2004,미세먼지(PM-10),62491033
2005,미세먼지(PM-10),67342622
2006,미세먼지(PM-10),64794891
2007,미세먼지(PM-10),98142981
2008,미세먼지(PM-10),110797341
2009,미세먼지(PM-10),103735468
2010,미세먼지(PM-10),116807520
2011,미세먼지(PM-10),131176264
2012,미세먼지(PM-10),119980478
2013,미세먼지(PM-10),121563217
2014,미세먼지(PM-10),97917906
2015,미세먼지(PM-10),233176576
2016,미세먼지(PM-10),233085216
2017,미세먼지(PM-10),218475782
2018,미세먼지(PM-10),232993218
2019,미세먼지(PM-10),207865746
2020,미세먼지(PM-10),146733003
2021,미세먼지(PM-10),146382961
2014,블랙카본(BC),13425984
2015,블랙카본(BC),15933599
2016,블랙카본(BC),16400818
2017,블랙카본(BC),15554787
2018,블랙카본(BC),15561636
2019,블랙카본(BC),14210715
2020,블랙카본(BC),11944803
2021,블랙카본(BC),10974544
1999,암모니아(NH₃),49544163
2000,암모니아(NH₃),48484442
2001,암모니아(NH₃),231452549
2002,암모니아(NH₃),222580598
2003,암모니아(NH₃),235301138
2004,암모니아(NH₃),243661302
2005,암모니아(NH₃),247149087
2006,암모니아(NH₃),235703082
2007,암모니아(NH₃),308706918
2008,암모니아(NH₃),265719724
2009,암모니아(NH₃),278201242
2010,암모니아(NH₃),289765969
2011,암모니아(NH₃),276415175
2012,암모니아(NH₃),303463071
2013,암모니아(NH₃),292973148
2014,암모니아(NH₃),292501015
2015,암모니아(NH₃),297166650
2016,암모니아(NH₃),301301415
2017,암모니아(NH₃),308298031
2018,암모니아(NH₃),315974862
2019,암모니아(NH₃),316299324
2020,암모니아(NH₃),261207081
2021,암모니아(NH₃),262008256
1999,일산화탄소(CO),885179083
2000,일산화탄소(CO),900568657
2001,일산화탄소(CO),845076039
2002,일산화탄소(CO),822766932
2003,일산화탄소(CO),805414197
2004,일산화탄소(CO),816954235
2005,일산화탄소(CO),788917218
2006,일산화탄소(CO),829937640
2007,일산화탄소(CO),808861571
2008,일산화탄소(CO),703661185
2009,일산화탄소(CO),817979439
2010,일산화탄소(CO),766268728
2011,일산화탄소(CO),718344514
2012,일산화탄소(CO),703586153
2013,일산화탄소(CO),696681964
2014,일산화탄소(CO),594453525
2015,일산화탄소(CO),792775758
2016,일산화탄소(CO),795043613
2017,일산화탄소(CO),817420206
2018,일산화탄소(CO),808800577
2019,일산화탄소(CO),757847653
2020,일산화탄소(CO),711399328
2021,일산화탄소(CO),694817173
1999,질소산화물(NOx),1072323365
2000,질소산화물(NOx),1122843908
2001,질소산화물(NOx),1219020364
2002,질소산화물(NOx),1242264632
2003,질소산화물(NOx),1362140569
2004,질소산화물(NOx),1377525570
2005,질소산화물(NOx),1306724197
2006,질소산화물(NOx),1274969233
2007,질소산화물(NOx),1187922895
2008,질소산화물(NOx),1045103762
2009,질소산화물(NOx),1014317995
2010,질소산화물(NOx),1061209505
2011,질소산화물(NOx),1040214416
2012,질소산화물(NOx),1075206686
2013,질소산화물(NOx),1090613835
2014,질소산화물(NOx),1135742718
2015,질소산화물(NOx),1157728083
2016,질소산화물(NOx),1248309312
2017,질소산화물(NOx),1189800495
2018,질소산화물(NOx),1153264689
2019,질소산화물(NOx),1086861873
2020,질소산화물(NOx),929227386
2021,질소산화물(NOx),884453539
2011,초미세먼지(PM-2.5),81793313
2012,초미세먼지(PM-2.5),76287005
2013,초미세먼지(PM-2.5),76802221
2014,초미세먼지(PM-2.5),63285569
2015,초미세먼지(PM-2.5),98806476
2016,초미세먼지(PM-2.5),100247344
2017,초미세먼지(PM-2.5),91731087
2018,초미세먼지(PM-2.5),98387932
2019,초미세먼지(PM-2.5),87618262
2020,초미세먼지(PM-2.5),58557526
2021,초미세먼지(PM-2.5),57316529
1999,총 부유먼지(TSP),84834556
2000,총 부유먼지(TSP),82101096
2001,총 부유먼지(TSP),88074900
2002,총 부유먼지(TSP),84364843
2003,총 부유먼지(TSP),85941493
2004,총 부유먼지(TSP),80084112
2005,총 부유먼지(TSP),88908984
2006,총 부유먼지(TSP),88259706
2007,총 부유먼지(TSP),144509893
2008,총 부유먼지(TSP),171602758
2009,총 부유먼지(TSP),155497449
2010,총 부유먼지(TSP),177600989
2011,총 부유먼지(TSP),201809898
2012,총 부유먼지(TSP),182743668
2013,총 부유먼지(TSP),185986076
2014,총 부유먼지(TSP),147193541
2015,총 부유먼지(TSP),604242836
2016,총 부유먼지(TSP),611539252
2017,총 부유먼지(TSP),592582487
2018,총 부유먼지(TSP),617480680
2019,총 부유먼지(TSP),484526753
2020,총 부유먼지(TSP),392350604
2021,총 부유먼지(TSP),396088829
1999,황산화물(SOx),484716137
2000,황산화물(SOx),490760822
2001,황산화물(SOx),487733933
2002,황산화물(SOx),474084374
2003,황산화물(SOx),469145372
2004,황산화물(SOx),446804125
2005,황산화물(SOx),408462195
2006,황산화물(SOx),446488089
2007,황산화물(SOx),402524960
2008,황산화물(SOx),417980453
2009,황산화물(SOx),387726807
2010,황산화물(SOx),401741466
2011,황산화물(SOx),433959473
2012,황산화물(SOx),417645123
2013,황산화물(SOx),404660232
2014,황산화물(SOx),343160640
2015,황산화물(SOx),352292103
2016,황산화물(SOx),358950889
2017,황산화물(SOx),315529863
2018,황산화물(SOx),300979491
2019,황산화물(SOx),272858617
2020,황산화물(SOx),180156856
2021,황산화물(SOx),160993208
1999,휘발성유기화합물(VOCs),665042913
2000,휘발성유기화합물(VOCs),706915432
2001,휘발성유기화합물(VOCs),734814263
2002,휘발성유기화합물(VOCs),741646551
2003,휘발성유기화합물(VOCs),758454738
2004,휘발성유기화합물(VOCs),797239933
2005,휘발성유기화합물(VOCs),756421418
2006,휘발성유기화합물(VOCs),794158339
2007,휘발성유기화합물(VOCs),874698716
2008,휘발성유기화합물(VOCs),857855966
2009,휘발성유기화합물(VOCs),851162308
2010,휘발성유기화합물(VOCs),866357768
2011,휘발성유기화합물(VOCs),873108446
2012,휘발성유기화합물(VOCs),911321788
2013,휘발성유기화합물(VOCs),913572607
2014,휘발성유기화합물(VOCs),905802507
2015,휘발성유기화합물(VOCs),1010770702
2016,휘발성유기화합물(VOCs),1024028975
2017,휘발성유기화합물(VOCs),1047584596
2018,휘발성유기화합물(VOCs),1035635721
2019,휘발성유기화합물(VOCs),1020215773
2020,휘발성유기화합물(VOCs),990628716
2021,휘발성유기화합물(VOCs),1002810383
